CCL__ID	CCL__form	CCL__meaning_en
C5808	ϣⲱⲗ	despoil, spoil
C5810	ϣⲱⲗ	spoil, booty
C5812	ϣⲱⲗ	spoiling
C6585	ϩⲉⲗϩⲓⲗⲉ	death rattle
C6518	ϩⲱⲗ	be hoarse
C6520	ϩⲱⲗ	meaning uncertain
C5961	ϣⲛⲟϣ	stink
C5962	ϣⲛⲟϣ	stink
C133	ⲁⲛⲑⲟⲩⲥ	lizard
C6732	ϩⲁⲡ	judgment, inquest
C6745	ϩⲁⲡⲉ	Apis
C6006	ϣⲡⲏⲣⲉ	wonder, amazement
C6007	ϣⲡⲏⲣⲉ	wonder, amazement
C5995	ϣⲱⲡⲉ	become, befall, be, exist
C5996	ϣⲱⲡⲉ	being
C6319	ϧⲟⲣⲡⲥ	handful
C6011	ϣⲱⲡϣ	arm, foreleg , sholder, gizzard(
C6569	ϩⲗⲡⲉ	navel
C6489	ϩⲏⲕⲉ	poor
C6486	ϩⲕⲟ	be hungry
C6487	ϩⲕⲟ	hunger, famine
C6481	ϩⲏⲕⲉ	a measure of corn
C6965	ϩⲟⲟⲩ	day
C6807	ϩⲣⲣⲉ	cease, be still
C6760	ϩⲱⲣ	squeeze out , milk
C6576	ϩⲁⲗⲏⲧ	flying creature, bird
C6527	ϩⲟⲟⲗⲉ	moth
C6528	ϩⲟⲟⲗⲉ	moth
C4791	ⲑⲗⲟ ⲉⲃⲟⲗ, ϩⲱⲗ	make to fly, drive away, scatter
C6512	ϩⲱⲗ	fly, go, hurry
C6989	ϩⲟⲩⲣⲓⲧ	watcher, guardian
C6525	ϩⲉⲗⲓ, ϩⲣⲧⲉ	fear
C6813	ϩⲣⲧⲉ, ϩⲟⲧⲉ	fear
C731	ϩⲓⲡⲉⲥⲏⲧ, ϩⲓ	on, to the ground
C6768	ϩⲣⲁⲓ	upper part
C6295	ⳉⲟ, ϩⲓⲏ	road, path
C6394	ϩⲓⲏ	road, path
C6548	ϩⲗⲟⲉⲓⲗⲉ, ⲗⲱⲓⲗⲓ	be borne, swim, float
C6534	ϩⲗⲓ, ⲉϩⲗⲓ, ϩⲗⲉⲓ, ϩⲓⲗ, ϩⲓ, ϩⲓⲉ	anyone, anything, something
C6398	ϩⲟ	face
C6785	ϩⲣⲓ	endive
C6787	ϩⲣⲱ	oven, furnace
C6761	ϩⲱⲣ	Horus
C6048	ϣⲣⲱ	cast forth
C6049	ϣⲣⲱ	menstruation
C5802	ϣⲁⲗ	myrrh
C6551	ϩⲗⲗⲟ	old person
C6044	ϩⲣϣⲓⲣⲉ	little, young servant
C5813	ϣⲟⲗⲥ	spoil
C6069	ϣⲟⲣϣⲣ	upset, overturn
C6070	ϣⲟⲣϣⲣ	overthrow, destruction
C6318	ϧⲱⲣ	destroy
C6815	ϩⲣⲟⲟⲩ	voice, sound
C339	ⲃⲁⲓ, ⲃⲉⲓ, ϩⲣⲟⲩⲃⲁⲓ	sky
C6756	ϩⲓⲣ	road, street,quarter
C6757	ϩⲓⲣϩⲓⲣⲉ	route, road
C6321	ϧⲣⲟϯ	child
C6774	ϩⲣⲁⲓ	lower part
C6779	ϩⲣⲉ	food, fodder; need
C6780	ϩⲣⲉ	food, fodder; need
C6065	ϣⲱⲣⲧ	be demented
C6788	ϩⲣⲃ	form, likeness
C6064	ϣⲟⲣⲧ	awning, veil
C6841	ϩⲣⲟϫⲣϫ	grind , rub
C6842	ϩⲣⲟϫⲣϫ	gnashing
C6802	ϩⲱⲣⲡ	sleep, doze
C6803	ϩⲱⲣⲡ	wet, be wet, drenched
C6058	ϣⲟⲣⲡ	first
C6059	ϣⲟⲣⲡ	first
C6055	ϣⲱⲣⲡ	be early
C6056	ϣⲱⲣⲡ	morning
C6808	ϩⲣⲏⲣⲉ	flower
C5825	ϣⲗⲟⲗ	folk, people
C6831	ϩⲣⲏϣⲉ	weight
C6828	ϩⲣⲟϣ	be heavy, slow, difficult
C6829	ϩⲣⲟϣ	weight, burden
C3728	ϣⲱⲣϫ	split
C6846	ϩⲁⲥ	dung
C6851	ϩⲁⲥⲓⲉ	drowned
C6847	ϩⲱⲥ	sing, make music
C6848	ϩⲱⲥ	song, hymn
C6852	ϩⲓⲥⲉ	toil, be troubled, difficult
C6853	ϩⲓⲥⲉ	labour, weariness, suffering
C6858	ϩⲓⲥⲉ	labour
C6862	ϩⲟⲥⲃ	market
C7008	ϩⲱϣϥ	break
C3935	ⲥⲱϣϥ, ⲥⲱϣ	be despised, humbled
C3936	ⲥⲱϣϥ	shame, contempt, scorn
C6863	ϩⲟⲥⲙ	natron
C6850	ϩⲱⲥ	thread, cord
C6131	ϣⲟⲧϣⲧ	cut, carve, hollow
C6132	ϣⲟⲧϣⲧ	thing carved
C6299	ⳉⲓⲧ	threshing-floor
C6381	ϩⲏ	belly, womb
C6383	ϩⲏ	storey of a house
C6932	ϩⲧⲟⲙⲧⲙ	darken, be darkened
C6933	ϩⲧⲟⲙⲧⲙ	darkness, mist
C6115	ϣⲧⲁⲙⲉ	closing
C6114	ϣⲧⲟⲙ	thing shutting or shut, gate
C6113	ϣⲧⲁⲙ	shut
C6112	ϣⲱⲧⲙ	shut, be shut
C6235	ϣϫⲏⲛ	garlic
C6940	ϩⲧⲟⲡ	utensil, measure
C6935	ϩⲱⲧⲡ	join, attune, be reconciled, sink
C6936	ϩⲱⲧⲡ	joint, joining, reconciliation
C6945	ϩⲁⲧⲣⲉ	a doubled thing, twin
C6947	ϩⲁⲧⲣⲉⲥ	yoke, pair
C6946	ϩⲉⲧⲣⲉ	navel
C6918	ϩⲧⲟ	horse
C6948	ϩⲧⲟⲣ	necessity, constraint
C6913	ϩⲱⲧⲉ	tribute
C6120	ϣⲧⲟⲣⲧⲣ	be disturbed, in haste, disturb
C6121	ϣⲧⲟⲣⲧⲣ	disturbance, trouble, haste
C6385	ϩⲏ, ϩⲉ, ϩⲓ, ϩ	season
C7083	ϫⲟ	armpit
C6372	ϩⲏ	fore part, beginning
C6992	ϩⲟⲩⲉⲓⲧ	first
C6993	ϩⲟⲩⲉⲓⲧ	beginning, first
C6891	ϩⲱⲧ	sail
C587	ⲃⲁϣⲁϩⲏⲩ, ⲁϩⲏⲩ	naked
C48	ⲁⲗⲟⲩ, ⲁⲗⲁⲩ, ⲁⲗⲱⲟⲩⲓ, ⲁⲗⲁⲩⲓ, ϣⲏⲣⲉ ϣⲏⲙ	youth, maiden
C49	ⲁⲗⲟⲩ, ⲁⲗⲁⲩ, ⲁⲗⲱⲟⲩⲓ, ⲁⲗⲁⲩⲓ, ϣⲏⲣⲉ ϣⲏⲙ	youth, maiden
C6982	ϩⲟⲩⲟ	greater part, greatness
C6983	ϩⲟⲩⲟ	great, much, greater, more
C6419	ϩⲱ	house; sepulchre
C5726	ϣⲓⲏ	length, height
C5727	ϣⲓⲏ	length, height
C5728	ϣⲓⲏ	be long, grow
C5738	ϣⲱⲓ	what is high, above
C6148	ϣⲏⲩⲉ	altar
C5730	ϣⲓⲱ	pot, funnel
C5731	ϣⲟ	thousand
C6295	ⳉⲟ, ϩⲓⲏ	road, path
C6868	ϩⲁⲉⲓⲧ	gateway, porch, forecourt
C7024	ϩⲱϩ	scrape, scratch, itch
C7025	ϩⲱϩ	scratching, itching
C6384	ϩⲏ	quarry
C4782	ⲑⲃⲃⲓⲟ, ϩⲓⲃⲉ	humiliate
C4783	ⲑⲃⲃⲓⲟ	humility
C6424	ϩⲱⲃ	send
C6425	ϩⲱⲃ	message, dispatch, mission
C6426	ϩⲱⲃ	thing, work, matter, event
C6536	ϩⲁⲗⲓⲃ	casting-net
C6888	ϩⲓⲉⲓⲧ	pit
C6301	ⳉⲁⲧⲉ	pluck out
C6599	ϩⲗⲱϭϥ	be pleasant
C6597	ϩⲗⲏϭⲉ	sweetness
C6591	ϩⲗⲟϭ	be sweet, take delight
C6592	ϩⲗⲟϭ	sweetness
C6620	ϩⲱⲱⲙⲉ	be thin, lean
C6743	ϩⲏⲡⲓ	crypt
C6740	ϩⲱⲡ	be hidden, hide
C6741	ϩⲱⲡ	secret, seclusion
C3918	ⲥⲱϣⲉ	drag, creep
C3919	ⲥⲱϣⲉ	trail
C6887	ϩⲏⲧ	tip, edge
C6890	ϩⲱⲧ	sack, bag
C5777	ϣⲁⲑⲱⲗ	ichneumon
C6951	ϩⲟⲧⲥ	vessel or measure
C6961	ϩⲏⲩ	profit, usefulness
C1062	ⲕⲱ	loosening, slackness
C6338	ϩⲁⲉ	last thing, end
C6339	ϩⲁⲉ	last thing, end
C6340	ϩⲁⲉ	last
C6532	ϩⲱⲱⲗⲉ	pluck
C6336	ϩⲁ	winnowing fan
C5679	ϣⲁ	rise
C5680	ϣⲁ	rising
C5398	ⲭⲣⲟⲃⲓ	sickle
C5399	ⲭⲣⲟⲃⲓ	sickle
C2753	ⲟⲉⲓⲙⲉ	hook
C6469	ϩⲁⲕ	cobbling tailor
C6015	ϣⲁⲁⲣ	skin, leather; parchment
C1006	ⲉⲓⲟⲩⲉ	waters
C883	ⲉⲓⲃⲉ	thirst
C884	ⲉⲓⲃⲉ	thirst
C2739	ⲟⲃϩⲉ	tooth
C999	ⲉⲓⲱⲧⲉ	dew
C266	ⲁϥ, ⲁⲁϥ, ⲁⲃ, ⲉϥ, ⲁϥⲟⲩⲓ, ⲁⲃⲟⲩⲓ, ⲁⲫⲟⲩⲓ, ⲉϥⲟⲩⲓ	flesh
C7827	ϭⲏⲡⲉ	cloud
C771	ⲉϩⲉ	ox, cow
C772	ⲉϩⲉ	ox, cow
C295	ⲁϩⲟⲙ, ⲉϩⲁⲙ, ⲁϩⲁⲙ, ⲉϩⲟⲙ, ⲱϣ	sigh, groan
C5623	ⲁϣⲙⲓ	soot
C6315	ϧⲟⲙϧⲉⲙ	be crushed, be broken, be destroyed
C6316	ϧⲟⲙϧⲉⲙ	crushing, fracture, destruction
C5887	ϣⲱⲱⲙⲉ	cliff, precipice
C5867	ϣⲏⲙ	small person, thing, quantity
C5869	ϣⲏⲙ	small, few, young, humble
C6618	ϩⲓⲱⲙⲉ	palm, hollow of hand
C84	ⲁⲙⲟⲩ, ⲉⲙⲟⲩ, ⲁⲙⲏ, ⲁⲙⲉⲓ, ⲁⲙⲱⲓⲛⲉ, ⲁⲙⲏⲓⲛ, ⲁⲙⲏⲉⲓⲧⲛ, ⲁⲙⲏⲓⲛⲉ, ⲁⲙⲏⲧⲛ, ⲁⲙⲱⲓⲛⲓ, ⲁⲙⲟⲓⲛⲓ, ⲁⲙⲱⲛⲓ, ⲁⲙⲱⲧⲛ, ⲁⲙⲱⲓⲧⲛ, ⲉⲓ	come!
C825	ⲉⲓ	come, go
C827	ⲉⲓ	coming, advent
C32	ⲁⲕⲱⲛⲉ, ⲉⲕⲱⲛⲉ, ⲉϭⲱⲛⲉ	a vessel
C312	ⲁϭⲟⲛ, ⲁϭⲁⲛ	stand for a jar
C84	ⲁⲙⲟⲩ, ⲉⲙⲟⲩ, ⲁⲙⲏ, ⲁⲙⲉⲓ, ⲁⲙⲱⲓⲛⲉ, ⲁⲙⲏⲓⲛ, ⲁⲙⲏⲉⲓⲧⲛ, ⲁⲙⲏⲓⲛⲉ, ⲁⲙⲏⲧⲛ, ⲁⲙⲱⲓⲛⲓ, ⲁⲙⲟⲓⲛⲓ, ⲁⲙⲱⲛⲓ, ⲁⲙⲱⲧⲛ, ⲁⲙⲱⲓⲧⲛ, ⲉⲓ	come!
C1808	ⲙⲟ, ⲙⲱ, ⲙⲙⲟ	take!
C2155	ⲙⲁⲩ, ⲙⲱ	the place there
C2156	ⲙⲙⲁⲩ	there, therein
C110	ⲁⲙⲁϩⲧⲉ, ⲁⲙⲁϩⲉ, ⲉⲙⲁϩⲧⲉ, ⲙⲁϩⲉ, ⲁⲙⲉϩⲧⲉ, ⲁⲙⲁϩⲓ, ⲙⲉϩⲓ, ⲁⲙⲟⲛⲓ	prevail, rule, be in possession, valid, lay hold on
C102	ⲁⲙⲛⲧⲉ, ⲁⲙⲉⲛϯ, ⲉⲙⲛⲧⲉ	"netherworld, ""hades"", hell"
C669	ⲉⲙⲛⲧ, ⲉⲙⲛⲧⲉ, ⲉⲓⲙⲛⲧ, ⲉⲙⲉⲛⲧ, ⲁⲙⲛⲧⲉ	west
C670	ⲉⲙⲛⲧ, ⲉⲙⲛⲧⲉ, ⲉⲓⲙⲛⲧ, ⲉⲙⲉⲛⲧ	western
C100	ⲁⲙⲟⲩⲛ	the god Amun
C673	ⲉⲙⲓⲥⲉ, ⲁⲙⲓⲥⲓ	dill
C676	ⲉⲙⲉϣϭⲉ, ⲕⲟⲩⲗⲁϫⲓ	Nile fish
C153	ⲁⲛⲁⲩ, ⲁⲛⲉⲩ, ⲉⲛⲉⲩ, ⲉⲛⲁⲩ, ⲉⲛⲟ, ⲛⲁⲩ	look!
C244	ⲁⲟⲩⲓⲛ	jaundice
C241	ⲁⲩⲁⲛ, ⲁⲩⲁⲁⲛ, ⲁⲩⲉⲓⲛ, ⲁⲩⲟⲛ, ⲉⲩⲁⲛ, ⲁⲟⲩⲁⲛ, ⲁⲃⲁⲛ, ⲁⲟⲩⲏⲛ, ⲉⲟⲩⲉⲛ	colour
C141	ⲁⲛⲓⲛⲉ, ⲁⲛⲓⲟⲩⲓ, ⲁⲛⲓⲛⲓ, ⲁⲛⲁⲓ, ⲉⲛⲁⲓ, ⲁⲛⲓ, ⲉⲛⲓ, ⲁⲛⲉⲛⲧ, ⲉⲓⲛⲉ	bring!
C905	ⲉⲓⲛⲉ	bring, bear
C4363	ⲧⲛⲛⲟⲟⲩ	send
C931	ⲉⲓⲛⲉ	chain, fetter
C241	ⲁⲩⲁⲛ, ⲁⲩⲁⲁⲛ, ⲁⲩⲉⲓⲛ, ⲁⲩⲟⲛ, ⲉⲩⲁⲛ, ⲁⲟⲩⲁⲛ, ⲁⲃⲁⲛ, ⲁⲟⲩⲏⲛ, ⲉⲟⲩⲉⲛ	colour
C929	ⲉⲓⲛⲉ	likeness, aspect
C2738	ⲟⲃⲛ	alum
C5544	ⲣⲃⲉ	enclosure, pen
C1974	ⲙⲡⲟ, ⲉⲙⲡⲟ, ⲉⲃⲱ	dumb person
C1975	ⲏⲙⲡⲱ	dumb person
C162	ⲁⲛⲁϩ	border
C682	ⲉⲛϩ, ⲛϩ, ⲛⲟϩ	eyebrow
C161	ⲁⲛϩ, ⲟⲛϩ	yard, court
C135	ⲁⲛⲟⲕ, ⲁⲛⲁⲕ, ⲁⲛⲅ, ⲁⲛⲕ	I
C138	ⲁⲛⲟⲙ	skin
C250	ⲁϣ, ⲉϣ, ⲉⳉ, ⲁⳉ, ⲉⲥ, ⳉⲉ, ⲛⲓⲙ	who?, what?
C2473	ⲛⲓⲙ	who?
C142	ⲁⲛⲟⲛ, ⲁⲛⲁⲛ, ⲁⲛ	we
C1629	ⲗⲏⲗ	necklace
C680	ⲉⲛⲟⲩⲛⲅ, ⲉⲛⲅ, ⲉⲛⲟⲩⲕ	a plant: fleabane
C145	ⲁⲛⲟⲩⲡ	the god Anubis
C136	ⲁⲛⲕⲟⲕⲓ, ⲉⲛⲕⲟⲕⲓ	third finger
C5501	ⲱⲛⲕ	leap
C5495	ⲱⲛⲉ	stone
C5496	ⲱⲛⲉ	stone
C942	ⲉⲓⲟⲡⲉ	a measure
C2756	ⲟⲉⲓⲡⲉ, ⲣⲧⲟⲃ	ephah, a mesure of grain, one sixth of the artaba
C5513	ⲱⲡ	count, esteem
C5514	ⲱⲡ	reckoning
C178	ⲁⲡⲥ, ⲏⲡⲥ, ⲉⲡⲥ, ⲱⲡ	number
C5533	ⲟⲡⲥ	reckoning
C179	ⲁⲡⲟⲧ, ⲁⲫⲟⲧ, ⲁⲡⲁⲧ, ⲉⲡⲁⲧ, ⲁⲡⲏⲧ, ⲁⲫⲏⲧ	cup, chalice
C943	ⲉⲓⲡⲛ	this
C174	ⲁⲡⲉⲓ	a purple dye-stuff
C5441	ⲱⲕⲙ	be dark, be gloomy, worsen
C5442	ⲱⲕⲙ	gloom, sadness
C714	ⲉⲣⲏⲩ, ⲏⲣ	fellow, companion
C715	ⲉⲣⲏⲩ, ⲏⲣ	fellow, companion
C793	ⲏⲣ, ⲉⲣⲏⲩ	friend, companion
C195	ⲁⲣⲓⲣⲉ, ⲁⲣⲓⲟⲩⲓ, ⲁⲣⲓ, ⲁⲗⲓ, ⲁⲗⲉ, ⲁⲗⲉⲏ, ⲉⲣⲓ, ⲉⲣ, ⲁⲣⲓⲧ, ⲁⲗⲓⲧ, ⲉⲓⲣⲉ	do!
C951	ⲉⲓⲣⲉ	act; become, befall; do
C960	ⲉⲓⲣⲉ	doing
C699	ⲉⲣⲓ	bread
C743	ⲉⲧⲣⲉ, ⲧⲣⲟ	veranlassen, bewirken
C4438	ⲧⲣⲟ, ⲉⲓⲣⲉ	cause to do
C855	ⲉⲓⲁ	eye and its sight
C794	ⲏⲣⲡ	wine
C795	ⲏⲣⲡ	wine
C892	ⲉⲓⲉⲗⲉⲗ	shine, glitter
C893	ⲉⲓⲉⲗⲉⲗ	brightness
C708	ⲉⲣⲱⲧⲉ	milk
C709	ⲉⲣⲱⲧⲉ	milk
C216	ⲁⲥⲁⲓ, ⲁⲥⲓⲁⲓ, ⲉⲥⲓⲉⲉⲓ, ⲁⲥⲓⲉ, ⲉⲥⲓⲉ, ⲁⲥⲉⲓⲧⲉ, ⲉⲥⲉⲓⲧⲉ, ⲁⲥⲱⲟⲩ, ⲁⲥⲓⲱⲟⲩ, ⲉⲥⲓⲱⲟⲩ, ⲉⲥⲱⲟⲩ, ⲁⲥⲏⲟⲩⲧ, ⲧⲁⲥⲟ	be light, relieved
C217	ⲁⲥⲁⲓ, ⲁⲥⲓⲁⲓ	lightness, alleviation
C213	ⲁⲥⲟⲩ, ⲉⲥⲟⲩ, ϣⲉⲃⲓⲱ	price, value
C978	ⲉⲓⲥ	behold, lo, here is
C979	ⲉⲓⲥ	since, ago
C984	ⲉⲓⲥⲧⲉ	behold, lo, here is for ⲉⲓⲥ ϩⲏⲏⲧⲉ
C5567	ⲁⲥⲕⲉ	delay
C5565	ⲱⲥⲕ	delay, continue, be prolonged
C5566	ⲱⲥⲕ	duration, delay
C998	ⲉⲓⲱⲧ	barley
C992	ⲉⲓⲱⲧ	father
C993	ⲉⲓⲱⲧ	father
C5585	ⲁⲧϩⲉ	woven garment?
C5586	ⲟⲩⲁⲧϩⲉ	warp
C4613	ⲧⲁⲧϩⲟ, ⲱⲧϩ	impede, restrain
C4614	ⲧⲁⲧϩⲟ	restraint
C5583	ⲱⲧϩ	tie, sew, weave
C5584	ⲱⲧϩ	fastened thing or place, lock
C5587	ⲁⲧϩⲥ	tissue, material
C1001	ⲉⲓⲧⲛ	ground, earth, dust, rubbish
C233	ⲁⲧ, ⲁⲧⲉ, ⲁⲑ, ⲁⲓⲧ	without
C247	ⲁⲩⲏⲧ, ⲁⲟⲩⲃⲏⲧ, ⲁⲃⲏⲧ	collection, company of persons
C5175	ⲟⲩⲧⲉ	between, among
C5494	ⲱⲛ	Heliopolis
C364	ⲙⲃⲟⲕⲓ, ⲱⲱ	conceive
C5420	ⲱⲱ	conceive
C5421	ⲱⲱ	conception
C5109	ⲟⲩⲣⲱ	bean
C890	ⲉⲓⲟⲩⲗ	hart, hind
C891	ⲉⲓⲟⲩⲗ	hart, hind
C2745	ⲟⲉⲓⲗⲉ	ram
C2758	ⲟⲥⲉ	loss, damage, fine
C749	ⲉⲟⲟⲩ	honour, glory
C887	ⲉⲓⲉⲃⲧ	the east
C888	ⲉⲓⲉⲃⲧ	eastern
C886	ⲉⲓⲁⲃⲉ	pus
C235	ⲁⲧⲉ	net
C298	ⲁϩⲣ, ⲁϩⲣⲉ, ⲁϧⲓ, ⲁⲭⲓ	marsh herbage, sedge
C801	ⲏϭⲉ	leek
C651	ⲉⲗⲟⲟⲗⲉ	grape
C5149	ⲟⲩⲥ	bald person
C871	ⲉⲓⲱ	wash
C5629	ⲱϥⲉ	press
C5630	ⲱϥⲉ	pressure
C2777	ⲟⲟϩ	moon
C792	ⲏⲛ	ape
C37	ⲁⲗⲉ, ⲁⲗⲏⲓ, ⲁⲗⲏ, ⲁⲗⲟ, ⲁⲗⲓ, ⲁⲗⲏⲩ, ⲱⲗ	mount, go up
C1037	ⲕⲉ	another
C1038	ⲕⲉ	another
C1039	ⲕⲉ	other . . ., different, any other
C1042	ⲕⲉ	also, even
C7803	ϭⲓⲛⲟⲩⲏⲗ	a kind of ship
C1492	ⲕⲁϥ	trunk
C1105	ⲕⲃⲁ	compulsion, forced labour
C1107	ⲕⲃⲁ	vengeance
C1104	ⲕⲱⲱⲃⲉ, ⲕⲱⲱϥⲉ	compel, seize by force
C1512	ⲕⲟⲓϩⲉ	rival
C1507	ⲕⲱϩ	be envious, zealous, emulate
C1509	ⲕⲱϩ	envy, zeal
C1129	ⲕⲁⲕⲉ	darkness
C1227	ⲕⲁⲙⲉ, ⲕⲁⲙⲏ, ⲕⲙⲙⲉ, ⲕⲁⲙ	black
C1228	ⲕⲁⲙⲉ, ⲕⲁⲙⲏ, ⲕⲙⲙⲉ, ⲕⲁⲙ	black
C1229	ⲕⲁⲙⲉ, ⲕⲁⲙⲏ, ⲕⲙⲙⲉ, ⲕⲁⲙ	black
C1232	ⲕⲏⲙⲉ	the black , Egypt
C1231	ⲕⲙⲉ	darkness
C1236	ⲕⲙⲏⲙⲉ	darkness
C1225	ⲕⲙⲟⲙ	be, become black
C1226	ⲕⲙⲟⲙ	blackness
C3431	ⲥⲕⲓⲙ	discoloured, grey hair
C3432	ⲥⲕⲓⲙ	grey-haired
C3435	ⲥⲕⲙⲕⲓⲙ	spotted
C86	ⲁⲙⲁⲗⲏϫ, ⲙⲟⲩⲗϫ	embrace
C1179	ⲕⲗⲙⲉ	pad, poultice
C1173	ⲕⲗⲟⲙ	crown, wreath
C1887	ⲙⲟⲩⲗϫ, ⲙⲟⲗϫ	enwrap, embrace
C1888	ⲙⲟⲩⲗϫ	embrace
C7763	ϭⲓⲛⲙⲟⲩⲧ	Pleiades
C7774	ϭⲓⲛⲏⲣⲁ	lyre, harp
C4669	ϭⲟⲡ ⲛⲧⲟⲟⲩⲉ, ϭⲟⲡ	sole
C7819	ϭⲟⲡ	sole of foot, foot
C7817	ϭⲓⲛϭⲱⲣ	talent
C7877	ϭⲟⲣⲧⲉ	knife, sword
C1336	ⲕⲱⲣϥ	bring to naught, cancel, destroy
C1337	ⲕⲱⲣϥ	ceasing, idleness
C1162	ⲕⲉⲗⲱⲗ, ⲕⲟⲩⲗⲱⲗ	pitcher, jar
C7924	ϭⲁⲥⲧ, ϭⲟⲥϭⲥ	dance
C7926	ϭⲟⲥϭⲥ	dance
C7927	ϭⲟⲥϭⲥ	dance
C8029	ϭⲟϫϭϫ	cut
C8030	ϭⲟϫϭϫ	cutting, slaughter
C7946	ϭⲟⲧⲡⲥ	defeat
C7945	ϭⲧⲟⲡ	defeat
C7936	ϭⲱⲧⲡ	defeat, overcome
C7942	ϭⲱⲧⲡ	intimidation, discouragement
C1149	ⲕⲉⲗⲕⲁ	lump, pustule
C1047	ⲕⲟ	bull
C7725	ϭⲙⲉ	gardener, vine dresser, wine grower
C7726	ϭⲙⲉ	tilled, cultivated
C7724	ϭⲱⲙ	garden
C1282	ⲕⲏⲡⲉ	vaulted place, cellar, canopy
C1276	ⲕⲱⲡ	hide, be hidden
C1277	ⲕⲱⲡ	hiding, concealment
C7839	ϭⲟⲡⲥ	capture
C4132	ϭⲉⲡⲧⲃⲧ, ϭⲱⲡⲉ	catch fish
C7830	ϭⲱⲡⲉ	seize, take
C7835	ϭⲱⲡⲉ	taking, catching
C1092	ⲕⲱ	statue, naos
C778	ⲉϭⲟϣⲉ, ⲉϭⲟⲟϣⲉ, ⲉⲑⲟϣⲓ	an Ethiopian, Nubian woman
C5410	ⲭⲟⲩⲥ	Kush
C777	ⲉϭⲱϣ, ⲉⲑⲱϣ	an Ethiopian, a Nubian
C1561	ⲗⲁⲃⲟⲓ, ⲗⲁⲃⲁⲓ	lioness
C3128	ⲣⲏⲛⲉ	youth, prime
C1961	ⲙⲛⲧ	pref. to nn. or adj. forming abstracts
C2101	ⲙⲟⲩⲧⲉ	speak, call
C2102	ⲙⲟⲩⲧⲉ	call, incantation
C2117	ⲙⲧⲱ, ⲉⲙⲧⲱ, ⲙⲧⲟ	depth
C2118	ⲙⲧⲱ, ⲉⲙⲧⲱ, ⲙⲧⲟ	depth
C2282	ⲙⲁϩ, ⲙⲁⲁϩ, ⲙⲁⲁϩⲓ	nest, brood
C2283	ⲙⲁϩⲟⲩⲁⲗ	nest, dovecot
C2305	ⲙⲏϩⲉ, ⲙⲉϩⲉ	feather
C2301	ⲙⲁϩⲉ	ell, cubit
C2285	ⲙⲟⲩϩ	fill
C2294	ⲙⲟⲩϩ	fullness, contents
C2284	ⲙⲟⲉⲓϩ, ⲙⲟⲓⲁϩ	measure for fodder
C2323	ⲙϩⲓⲧ	north
C2310	ⲙϩⲏ	breath
C2312	ⲙⲉϩⲙⲟⲩϩⲉ	purslane
C537	ⲃⲣϭⲟⲟⲩⲧ, ⲃⲉⲣⲉϭⲱⲟⲩⲧ, ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	chariot
C2316	ⲙⲁϩⲧ	bowles, intestins, umbilical cord
C2326	ⲙϩⲁⲟⲩⲉ	family
C2302	ⲙⲁϩⲉ	flax
C667	ⲉⲙⲟⲩ, ⲁⲙⲟⲩ, ⲙⲟⲩⲧ	cat
C1838	ⲙⲓⲕⲉ, ⲙⲓⲕⲓ	rest
C1839	ⲙⲓⲕⲉ, ⲙⲓⲕⲓ	rest
C1842	ⲙⲟⲕⲙⲉⲕ, ⲙⲁⲕⲙⲉⲕ	think, ponder
C1840	ⲙⲟⲕⲓ	jar, vessel, quiver
C1852	ⲙⲁⲕϩ, ⲙⲁⲭ, ⲙⲟⲕϩ	neck
C2175	ⲙⲟⲩⲙⲉ	spring, fountain
C466	ⲃⲏⲛⲉ	swallow
C467	ⲃⲏⲛⲉ	swallow
C469	ⲃⲓⲛⲓ	crucible
C1904	ⲙⲁⲉⲓⲛ	sign, mark
C1922	ⲙⲓⲛⲉ	sort, quality, manner
C1921	ⲙⲏⲛⲉ	daily, every day
C1964	ⲙⲛⲟⲩⲧ	porter, doorkeeper
C1965	ⲙⲛⲟⲩⲧ	porter, doorkeeper
C1913	ⲙⲟⲩⲛ, ⲙⲟⲩⲛⲉ	remain, continue
C1916	ⲙⲟⲩⲛ	perseverance, continuance
C2502	ⲛⲟⲩⲛⲉ	root
C3537	ⲥⲙⲓⲛⲉ, ⲙⲟⲩⲛ	be established, set right, in order
C3539	ⲥⲙⲓⲛⲉ	confirmation, agreement, putting together, adornment, repose,       tranquillity
C1966	ⲙⲛⲟⲟⲧⲉ	porteress
C641	ⲉⲕⲓⲃⲉ, ⲕⲓⲃⲉ, ⲙⲛⲟⲧ	breast, nipple
C1962	ⲙⲛⲟⲧ	breast
C1892	ⲙⲙⲟⲛ	no
C1897	ⲙⲙⲟⲛ	really, for
C1941	ⲙⲛⲏ	there, thither
C1956	ⲙⲟⲛⲙⲉⲛ	shake, be shaken
C1957	ⲙⲟⲛⲙⲉⲛ	shaking, earthquake, tempest
C465	ⲙⲁⲛⲉⲃⲁⲁⲙⲡⲉ, ⲙⲁⲛⲉ	goatherd
C1929	ⲙⲁⲛⲉ	herdsman, pastor
C1930	ⲙⲁⲛⲏⲩ	herdsman
C1925	ⲙⲟⲟⲛⲉ	pasture, feed
C1882	ⲙⲟⲩⲗϩ, ⲙⲟⲩⲗⲁϩ, ⲙⲟⲩⲣϩ	wax
C1883	ⲙⲟⲩⲗϩ	be hooked into, twisted into, attached to
